tourney_name,surface,year,player,ranking,hand,1st_serve_pct,1st_serve_won,2nd_serve_won,bp_save_rate,ace_rate,df_rate,result
Brisbane,Hard,2019,Kei Nishikori,9.0,,57.14285714285714,70.45454545454545,51.51515151359045,50.0,3.896103896103896,3.896103896103896,Winner
Brisbane,Hard,2019,Daniil Medvedev,16.0,,63.46153846153846,84.84848484848484,73.68421052243768,0.0,19.230769230769234,1.9230769230769231,Winner
Brisbane,Hard,2019,Kei Nishikori,9.0,,70.2127659574468,78.78787878787878,64.28571428112245,100.0,4.25531914893617,4.25531914893617,Winner
Brisbane,Hard,2019,Jo-Wilfried Tsonga,239.0,,63.23529411764706,79.06976744186046,59.99999999759999,80.0,17.647058823529413,2.941176470588235,Winner
Brisbane,Hard,2019,Daniil Medvedev,16.0,,64.76190476190476,70.58823529411765,67.56756756574143,100.0,11.428571428571429,2.857142857142857,Winner
Brisbane,Hard,2019,Jeremy Chardy,40.0,,61.702127659574465,75.86206896551724,49.999999998611116,50.0,10.638297872340425,8.51063829787234,Winner
Brisbane,Hard,2019,Kei Nishikori,9.0,,79.66101694915254,78.72340425531915,74.99999999375,0.0,8.47457627118644,3.389830508474576,Winner
Brisbane,Hard,2019,Jo-Wilfried Tsonga,239.0,,57.8125,81.08108108108108,40.740740739231825,57.14285714285714,17.1875,4.6875,Winner
Brisbane,Hard,2019,Alex De Minaur,31.0,,77.55102040816327,76.31578947368422,72.72727272066115,,2.0408163265306123,2.0408163265306123,Winner
Brisbane,Hard,2019,Daniil Medvedev,16.0,,62.96296296296296,79.41176470588235,64.99999999675,0.0,29.629629629629626,3.7037037037037033,Winner
Brisbane,Hard,2019,Milos Raonic,18.0,,74.19354838709677,86.95652173913044,62.49999999609375,,33.87096774193548,4.838709677419355,Winner
Brisbane,Hard,2019,Jeremy Chardy,40.0,,69.04761904761905,86.20689655172413,65.38461538210059,100.0,20.238095238095237,5.952380952380952,Winner
Brisbane,Hard,2019,Yasutaka Uchiyama,185.0,,64.0,85.41666666666666,51.85185184993141,100.0,20.0,0.0,Winner
Brisbane,Hard,2019,Grigor Dimitrov,19.0,,55.55555555555556,77.14285714285715,46.428571426913265,50.0,9.523809523809524,3.1746031746031744,Winner
Brisbane,Hard,2019,Kei Nishikori,9.0,,57.14285714285714,84.375,62.49999999739584,,12.5,3.571428571428571,Winner
Brisbane,Hard,2019,Jo-Wilfried Tsonga,239.0,,53.94736842105263,80.48780487804879,57.14285714122449,66.66666666666666,14.473684210526317,1.3157894736842104,Winner
Brisbane,Hard,2019,Jordan Thompson,72.0,,69.04761904761905,79.3103448275862,53.84615384201184,0.0,2.380952380952381,4.761904761904762,Winner
Brisbane,Hard,2019,Alex De Minaur,31.0,,65.11627906976744,89.28571428571429,39.99999999733333,75.0,2.3255813953488373,4.651162790697675,Winner
Brisbane,Hard,2019,Andy Murray,240.0,,59.09090909090909,71.7948717948718,59.259259257064464,80.0,9.090909090909092,6.0606060606060606,Winner
Brisbane,Hard,2019,Miomir Kecmanovic,131.0,,55.55555555555556,88.0,59.999999996999996,100.0,11.11111111111111,4.444444444444445,Winner
Brisbane,Hard,2019,Milos Raonic,18.0,,76.31578947368422,93.10344827586206,55.55555554938272,,47.368421052631575,0.0,Winner
Brisbane,Hard,2019,Nick Kyrgios,35.0,,67.22689075630252,78.75,61.53846153688364,50.0,36.97478991596639,2.5210084033613445,Winner
Brisbane,Hard,2019,Jeremy Chardy,40.0,,59.77011494252874,76.92307692307693,59.99999999828572,66.66666666666666,17.24137931034483,4.597701149425287,Winner
Brisbane,Hard,2019,Yasutaka Uchiyama,185.0,,74.13793103448276,90.69767441860465,66.66666666222221,,20.689655172413794,0.0,Winner
Brisbane,Hard,2019,Grigor Dimitrov,19.0,,56.57894736842105,86.04651162790698,36.36363636253444,85.71428571428571,11.842105263157894,7.894736842105263,Winner
Brisbane,Hard,2019,John Millman,38.0,,69.38775510204081,72.05882352941177,49.99999999833334,60.0,8.16326530612245,2.0408163265306123,Winner
Brisbane,Hard,2019,Denis Kudla,63.0,,62.39316239316239,79.45205479452055,59.090909089566125,100.0,6.837606837606838,3.418803418803419,Winner
Doha,Hard,2019,Roberto Bautista Agut,24.0,,70.58823529411765,71.66666666666667,63.99999999744001,83.33333333333334,5.88235294117647,0.0,Winner
Doha,Hard,2019,Roberto Bautista Agut,24.0,,75.0,78.78787878787878,49.99999999772727,50.0,7.954545454545454,0.0,Winner
Doha,Hard,2019,Tomas Berdych,71.0,,64.0625,75.60975609756098,78.26086956181474,66.66666666666666,18.75,0.0,Winner
Doha,Hard,2019,Novak Djokovic,1.0,,66.27906976744185,71.9298245614035,51.724137929250894,50.0,8.13953488372093,3.488372093023256,Winner
Doha,Hard,2019,Roberto Bautista Agut,24.0,,75.71428571428571,73.58490566037736,47.0588235266436,100.0,2.857142857142857,1.4285714285714286,Winner
Doha,Hard,2019,Marco Cecchinato,20.0,,79.66101694915254,76.59574468085107,74.99999999375,100.0,6.779661016949152,0.0,Winner
Doha,Hard,2019,Tomas Berdych,71.0,,66.66666666666666,90.625,49.999999996875,100.0,12.5,0.0,Winner
Doha,Hard,2019,Novak Djokovic,1.0,,70.66666666666667,73.58490566037736,59.09090908822314,50.0,6.666666666666667,1.3333333333333335,Winner
Doha,Hard,2019,Nikoloz Basilashvili,21.0,,60.0,86.11111111111111,33.333333331944445,50.0,13.333333333333334,13.333333333333334,Winner
Doha,Hard,2019,Stan Wawrinka,66.0,,49.18032786885246,93.33333333333333,64.5161290301769,,8.19672131147541,1.639344262295082,Winner
Doha,Hard,2019,Roberto Bautista Agut,24.0,,67.3469387755102,75.75757575757575,68.74999999570312,75.0,4.081632653061225,0.0,Winner
Doha,Hard,2019,Dusan Lajovic,48.0,,73.0,65.75342465753424,44.44444444279835,58.333333333333336,8.0,2.0,Winner
Doha,Hard,2019,Tomas Berdych,71.0,,66.29213483146067,74.57627118644068,49.99999999833334,40.0,3.3707865168539324,2.247191011235955,Winner
Doha,Hard,2019,Pierre Hugues Herbert,55.0,,66.36363636363637,78.08219178082192,67.56756756574143,100.0,8.181818181818182,1.8181818181818181,Winner
Doha,Hard,2019,Novak Djokovic,1.0,,61.904761904761905,80.76923076923077,68.74999999570312,,7.142857142857142,4.761904761904762,Winner
Doha,Hard,2019,Marton Fucsovics,36.0,,59.25925925925925,75.0,68.18181817871901,100.0,1.8518518518518516,3.7037037037037033,Winner
Doha,Hard,2019,Andrey Rublev,68.0,,50.847457627118644,73.33333333333333,62.06896551510107,60.0,16.94915254237288,5.084745762711865,Winner
Doha,Hard,2019,Nikoloz Basilashvili,21.0,,50.0,81.81818181818183,48.48484848337925,50.0,13.636363636363635,4.545454545454546,Winner
Doha,Hard,2019,Stan Wawrinka,66.0,,56.97674418604651,73.46938775510205,59.45945945785245,100.0,8.13953488372093,1.1627906976744187,Winner
Doha,Hard,2019,Nicolas Jarry,43.0,,70.16129032258065,67.81609195402298,64.86486486311178,77.77777777777779,9.67741935483871,0.8064516129032258,Winner
Doha,Hard,2019,Guillermo Garcia Lopez,105.0,,67.5,81.48148148148148,92.30769230059171,100.0,2.5,0.0,Winner
Doha,Hard,2019,Roberto Bautista Agut,24.0,,66.66666666666666,79.41176470588235,70.5882352899654,100.0,5.88235294117647,3.9215686274509802,Winner
Doha,Hard,2019,Ricardas Berankis,116.0,,63.46153846153846,66.66666666666666,55.26315789328255,60.0,5.769230769230769,2.8846153846153846,Winner
Doha,Hard,2019,Dusan Lajovic,48.0,,75.32467532467533,68.96551724137932,47.3684210501385,75.0,3.896103896103896,1.2987012987012987,Winner
Doha,Hard,2019,Guido Pella,58.0,,72.72727272727273,75.0,61.111111107716056,0.0,7.575757575757576,1.5151515151515151,Winner
Doha,Hard,2019,Marco Cecchinato,20.0,,75.0,83.33333333333334,42.85714285408163,100.0,8.928571428571429,5.357142857142857,Winner
Doha,Hard,2019,Fernando Verdasco,28.0,,66.66666666666666,83.33333333333334,33.33333333148148,0.0,16.666666666666664,0.0,Winner
Doha,Hard,2019,Tomas Berdych,71.0,,58.9041095890411,76.74418604651163,56.66666666477778,50.0,8.21917808219178,1.36986301369863,Winner
Doha,Hard,2019,Maximilian Marterer,74.0,,70.83333333333334,88.23529411764706,57.142857138775504,100.0,16.666666666666664,0.0,Winner
Doha,Hard,2019,Pierre Hugues Herbert,55.0,,65.07936507936508,80.48780487804879,59.09090908822314,100.0,9.523809523809524,0.0,Winner
Pune,Hard,2019,Kevin Anderson,6.0,,62.5,87.6923076923077,66.66666666495728,,20.192307692307693,5.769230769230769,Winner
Pune,Hard,2019,Kevin Anderson,6.0,,62.7906976744186,79.62962962962963,43.749999998632816,90.0,24.418604651162788,2.3255813953488373,Winner
Pune,Hard,2019,Ivo Karlovic,100.0,,65.1685393258427,89.65517241379311,54.838709675650364,50.0,37.07865168539326,4.49438202247191,Winner
Pune,Hard,2019,Kevin Anderson,6.0,,64.70588235294117,81.81818181818183,49.99999999722222,50.0,27.450980392156865,1.9607843137254901,Winner
Pune,Hard,2019,Gilles Simon,30.0,,71.15384615384616,72.97297297297297,43.33333333188889,72.72727272727273,3.8461538461538463,3.8461538461538463,Winner
Pune,Hard,2019,Steve Darcis,,,64.61538461538461,64.28571428571429,69.56521738827978,75.0,1.5384615384615385,0.0,Winner
Pune,Hard,2019,Ivo Karlovic,100.0,,72.28915662650603,85.0,52.17391304120983,100.0,30.120481927710845,4.819277108433735,Winner
Pune,Hard,2019,Kevin Anderson,6.0,,66.66666666666666,81.48148148148148,59.259259257064464,50.0,24.691358024691358,2.4691358024691357,Winner
Pune,Hard,2019,Jaume Munar,81.0,,76.59574468085107,80.55555555555556,45.45454545041323,0.0,8.51063829787234,2.127659574468085,Winner
Pune,Hard,2019,Gilles Simon,30.0,,57.943925233644855,67.74193548387096,64.44444444301234,100.0,8.411214953271028,1.8691588785046727,Winner
Pune,Hard,2019,Benoit Paire,52.0,,41.509433962264154,90.9090909090909,54.838709675650364,75.0,20.754716981132077,11.320754716981133,Winner
Pune,Hard,2019,Steve Darcis,,,61.832061068702295,62.96296296296296,57.99999999884,88.88888888888889,3.816793893129771,3.816793893129771,Winner
Pune,Hard,2019,Malek Jaziri,45.0,,54.54545454545454,75.64102564102564,44.61538461469822,80.0,4.195804195804196,4.195804195804196,Winner
Pune,Hard,2019,Ivo Karlovic,100.0,,70.58823529411765,86.11111111111111,86.6666666608889,,33.33333333333333,3.9215686274509802,Winner
Pune,Hard,2019,Ernests Gulbis,95.0,,50.79365079365079,71.875,51.61290322414152,25.0,12.698412698412698,1.5873015873015872,Winner
Pune,Hard,2019,Laslo Djere,93.0,,61.42857142857143,86.04651162790698,59.259259257064464,66.66666666666666,11.428571428571429,2.857142857142857,Winner
Pune,Hard,2019,Simone Bolelli,141.0,,70.49180327868852,72.09302325581395,61.111111107716056,75.0,4.918032786885246,1.639344262295082,Winner
Pune,Hard,2019,Jaume Munar,81.0,,74.35897435897436,67.24137931034483,49.9999999975,90.0,5.128205128205128,1.282051282051282,Winner
Pune,Hard,2019,Ilya Ivashka,91.0,,58.18181818181818,75.0,67.39130434636105,100.0,1.8181818181818181,6.363636363636363,Winner
Pune,Hard,2019,Jiri Vesely,89.0,,58.0246913580247,78.72340425531915,58.8235294100346,60.0,12.345679012345679,1.2345679012345678,Winner
Pune,Hard,2019,Benoit Paire,52.0,,55.69620253164557,84.0909090909091,51.42857142710204,100.0,22.78481012658228,3.79746835443038,Winner
Pune,Hard,2019,Steve Darcis,,,59.09090909090909,64.1025641025641,59.259259257064464,71.42857142857143,9.090909090909092,3.0303030303030303,Winner
Pune,Hard,2019,Michael Mmoh,103.0,,81.25,87.17948717948718,55.55555554938272,50.0,10.416666666666668,0.0,Winner
